ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
AIT|Applied Industrial Technologies, Inc. Common Stock|N|AIT|N|100.0|N|AIT
AIU|Meta Data Limited ADS|N|AIU|N|100.0|N|AIU
AIV|Apartment Investment and Management Company Common Stock|N|AIV|N|100.0|N|AIV
AIZ|Assurant, Inc. Common Stock|N|AIZ|N|100.0|N|AIZ
AIZN|Assurant, Inc. 5.25% Subordinated Notes due 2061|N|AIZN|N|100.0|N|AIZN
AJG|Arthur J. Gallagher & Co. Common Stock|N|AJG|N|100.0|N|AJG
AJX|Great Ajax Corp. Common Stock|N|AJX|N|100.0|N|AJX
AKA|a.k.a. Brands Holding Corp. Common Stock|N|AKA|N|100.0|N|AKA
AKO.A|Embotelladora Andina S.A. Common Stock|N|AKO.A|N|100.0|N|AKO.A
AKO.B|Embotelladora Andina S.A. Common Stock|N|AKO.B|N|100.0|N|AKO.B
AKR|Acadia Realty Trust Common Stock|N|AKR|N|100.0|N|AKR
AL|Air Lease Corporation Class A Common Stock|N|AL|N|100.0|N|AL
ALB|Albemarle Corporation Common Stock|N|ALB|N|100.0|N|ALB
ALC|Alcon Inc. Ordinary Shares|N|ALC|N|100.0|N|ALC
ALE|Allete, Inc.|N|ALE|N|100.0|N|ALE
ALEX|Alexander & Baldwin, Inc. Common Stock REIT Holding Company|N|ALEX|N|100.0|N|ALEX
ALG|Alamo Group, Inc. Common Stock|N|ALG|N|100.0|N|ALG
ALIT|Alight, Inc. Class A Common Stock|N|ALIT|N|100.0|N|ALIT
ALK|Alaska Air Group, Inc. Common Stock|N|ALK|N|100.0|N|ALK
ALL|Allstate Corporation (The) Common Stock|N|ALL|N|100.0|N|ALL
ALLE|Allegion plc Ordinary Shares|N|ALLE|N|100.0|N|ALLE
ALLG|Allego N.V. Ordinary Share|N|ALLG|N|100.0|N|ALLG
ALLY|Ally Financial Inc. Common Stock|N|ALLY|N|100.0|N|ALLY
ALSN|Allison Transmission Holdings, Inc. Common Stock|N|ALSN|N|100.0|N|ALSN
ALTG|Alta Equipment Group Inc. Class A Common Stock|N|ALTG|N|100.0|N|ALTG
ALTM|Arcadium Lithium plc Ordinary Shares|N|ALTM|N|100.0|N|ALTM
ALUR|Allurion Technologies, Inc. Common Stock|N|ALUR|N|100.0|N|ALUR
ALV|Autoliv, Inc. Common Stock|N|ALV|N|100.0|N|ALV
ALX|Alexander's, Inc. Common Stock|N|ALX|N|100.0|N|ALX
AM|Antero Midstream Corporation Common Stock|N|AM|N|100.0|N|AM
AMBC|Ambac Financial Group, Inc. Common Stock|N|AMBC|N|100.0|N|AMBC
AMBI|Ambipar Emergency Response Class A Ordinary Shares|A|AMBI|N|100.0|N|AMBI
AMBO|Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares)|A|AMBO|N|100.0|N|AMBO
AMBP|Ardagh Metal Packaging S.A. Ordinary Shares|N|AMBP|N|100.0|N|AMBP
AMC|AMC Entertainment Holdings, Inc. Class A Common Stock|N|AMC|N|100.0|N|AMC
AMCR|Amcor plc Ordinary Shares|N|AMCR|N|100.0|N|AMCR
AME|AMETEK, Inc.|N|AME|N|100.0|N|AME
AMG|Affiliated Managers Group, Inc. Common Stock|N|AMG|N|100.0|N|AMG
